Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Shafeeque Ali, A.K., Nithyanandan, K., Porsezian, K., Maimistov, A.I.","56401131700;36246432800;35561975500;7004367032;","Modulation instability in a triangular three-core coupler with a negative-index material channel",2016,"Journal of Optics (United Kingdom)","18","3", 035102,"","",,7,"10.1088/2040-8978/18/3/035102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961905708&doi=10.1088%2f2040-8978%2f18%2f3%2f035102&partnerID=40&md5=906eab564a9c8713bc1670d539c1ae75",Article,"Final","",Scopus,2-s2.0-84961905708
"Nithyanandan, K., Porsezian, K.","36246432800;35561975500;","Co-propagation of two optical fields in a semiconductor doped dispersion decreasing fiber and modulational instability induced by cross-phase modulation",2016,"Laser Physics","26","1", 015401,"","",,4,"10.1088/1054-660X/26/1/015401","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952334105&doi=10.1088%2f1054-660X%2f26%2f1%2f015401&partnerID=40&md5=cc3eba63becf82f010c0472d22663ddb",Article,"Final","",Scopus,2-s2.0-84952334105
"Nithyanandan, K., Porsezian, K.","36246432800;35561975500;","Influence of the functional form of nonlinearity in the Modulational Instability spectra of relaxing saturable nonlinear system",2015,"Journal of Physics: Conference Series","605","1", 012032,"","",,1,"10.1088/1742-6596/605/1/012032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929494328&doi=10.1088%2f1742-6596%2f605%2f1%2f012032&partnerID=40&md5=ddb1e77ae5315ca7c60ace2a7a228261",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-84929494328
"Nithyanandan, K., Porsezian, K.","36246432800;35561975500;","A novel behavior of pump power in the instability induced supercontinuum generation of saturable nonlinear media",2015,"Journal of Physics: Conference Series","605","1", 012031,"","",,,"10.1088/1742-6596/605/1/012031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929492893&doi=10.1088%2f1742-6596%2f605%2f1%2f012031&partnerID=40&md5=6d370feb9f47e295f9c1d548ce5ee2d6",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-84929492893
"Shafeeque Ali, A.K., Nithyanandan, K., Porsezian, K.","56401131700;36246432800;35561975500;","Theoretical investigation of modulation instability in a three-core coupler with negative index material channel",2015,"Physics Letters, Section A: General, Atomic and Solid State Physics","379","3",,"223","229",,14,"10.1016/j.physleta.2014.11.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84913593337&doi=10.1016%2fj.physleta.2014.11.023&partnerID=40&md5=fe2ce161ab6e77237d8c6b9d124ebb26",Article,"Final","",Scopus,2-s2.0-84913593337
"Nithyanandan, K., Porsezian, K.","36246432800;35561975500;","A unique observation of power play in the instability induced supercontinuum generation in saturable nonlinear media",2015,"Proceedings of Frontiers in Optics 2015, FIO 2015",,,,"","",,,"10.1364/fio.2015.jw2a.51","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086950890&doi=10.1364%2ffio.2015.jw2a.51&partnerID=40&md5=d2c519b680d39620ac1372c52246ad6e",Conference Paper,"Final","",Scopus,2-s2.0-85086950890
"Nithyanandan, K., Porsezian, K.","36246432800;35561975500;","A Theoretical Observation of Novel Power Play in the Supercontinuum Spectra of Exponential Saturable Nonlinear Media",2015,"Nonlinear Optics, NLO 2015",,, NW4A.1,"","",,,"10.1364/NLO.2015.NW4A.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945904757&doi=10.1364%2fNLO.2015.NW4A.1&partnerID=40&md5=8a85c9b06fbe0937aa841e2473539385",Conference Paper,"Final","",Scopus,2-s2.0-84945904757
"Nithyanandan, K., Porsezian, K.","36246432800;35561975500;","A novel power play in the supercontinuum generation induced by modulational instability in saturable nonlinear media",2014,"Frontiers in Optics, FiO 2014",,,,"","",,,"10.1364/fio.2014.fw4d.7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088769145&doi=10.1364%2ffio.2014.fw4d.7&partnerID=40&md5=962f9afcee52e6ebc2e81c5d907cc560",Conference Paper,"Final","",Scopus,2-s2.0-85088769145
"Nithyanandan, K., Uthayakumar, T., Porsezian, K., Raja, R.V.J.","36246432800;35362713600;35561975500;25637567000;","Observation of two state behavior in the Instability induced Supercontinuum Generation of exponential saturable nonlinearity",2014,"WRAP 2013 - Workshop on Recent Advances in Photonics",,, 6917695,"","",,,"10.1109/WRAP.2013.6917695","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910045314&doi=10.1109%2fWRAP.2013.6917695&partnerID=40&md5=005b3291da8cbb5a41e9482a5fd94cc9",Conference Paper,"Final","",Scopus,2-s2.0-84910045314
"Raja, R.V.J., Nithyanandan, K., Uthayakumar, T., Porsezian, K.","25637567000;36246432800;35362713600;35561975500;","Supercontinuum generation in the novel semiconductor doped dispersion decreasing fiber",2014,"WRAP 2013 - Workshop on Recent Advances in Photonics",,, 6917696,"","",,,"10.1109/WRAP.2013.6917696","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910025500&doi=10.1109%2fWRAP.2013.6917696&partnerID=40&md5=10f591595128fa6e1e61f779c334a357",Conference Paper,"Final","",Scopus,2-s2.0-84910025500
